# Assembly name:  ASM24072v1
# Organism name:  Nannochloropsis gaditana CCMP526 (eukaryotes)
# Infraspecific name:  strain=CCMP526
# Taxid:          1093141
# BioSample:      SAMN02981382
# BioProject:     PRJNA73791
# Submitter:      Colorado School of Mines
# Date:           2012-01-04
# Assembly type:  haploid
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    AGNI01
# Assembly method: Newbler v. 2.3; Velvet v. 1.0.19
# Genome coverage: 230x
# Sequencing technology: 454 GS FLX Titanium; Illumina GA IIx
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000240725.1
# RefSeq assembly accession: GCF_000240725.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000240735.1	GCF_000240735.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
scaffold001	unplaced-scaffold	na	na	JH470562.1	=	NW_005803952.1	Primary Assembly	233313	na
scaffold002	unplaced-scaffold	na	na	JH470563.1	=	NW_005803951.1	Primary Assembly	221273	na
scaffold003	unplaced-scaffold	na	na	JH470564.1	=	NW_005803950.1	Primary Assembly	204092	na
scaffold004	unplaced-scaffold	na	na	JH470565.1	=	NW_005803949.1	Primary Assembly	177765	na
scaffold005	unplaced-scaffold	na	na	JH470566.1	=	NW_005803948.1	Primary Assembly	177383	na
scaffold006	unplaced-scaffold	na	na	JH470567.1	=	NW_005803947.1	Primary Assembly	146045	na
scaffold007	unplaced-scaffold	na	na	JH470568.1	=	NW_005803946.1	Primary Assembly	145121	na
scaffold008	unplaced-scaffold	na	na	JH470569.1	=	NW_005803945.1	Primary Assembly	142672	na
scaffold009	unplaced-scaffold	na	na	JH470570.1	=	NW_005803944.1	Primary Assembly	140941	na
scaffold010	unplaced-scaffold	na	na	JH470571.1	=	NW_005803943.1	Primary Assembly	140031	na
scaffold011	unplaced-scaffold	na	na	JH470572.1	=	NW_005803942.1	Primary Assembly	139476	na
scaffold012	unplaced-scaffold	na	na	JH470573.1	=	NW_005803941.1	Primary Assembly	137730	na
scaffold013	unplaced-scaffold	na	na	JH470574.1	=	NW_005803940.1	Primary Assembly	123468	na
scaffold014	unplaced-scaffold	na	na	JH470575.1	=	NW_005803939.1	Primary Assembly	120425	na
scaffold015	unplaced-scaffold	na	na	JH470576.1	=	NW_005803938.1	Primary Assembly	119569	na
scaffold016	unplaced-scaffold	na	na	JH470577.1	=	NW_005803937.1	Primary Assembly	118262	na
scaffold017	unplaced-scaffold	na	na	JH470578.1	=	NW_005803936.1	Primary Assembly	117086	na
scaffold018	unplaced-scaffold	na	na	JH470579.1	=	NW_005803935.1	Primary Assembly	112275	na
scaffold019	unplaced-scaffold	na	na	JH470580.1	=	NW_005803934.1	Primary Assembly	111552	na
scaffold020	unplaced-scaffold	na	na	JH470581.1	=	NW_005803933.1	Primary Assembly	111080	na
scaffold021	unplaced-scaffold	na	na	JH470582.1	=	NW_005803932.1	Primary Assembly	110671	na
scaffold022	unplaced-scaffold	na	na	JH470583.1	=	NW_005803931.1	Primary Assembly	110428	na
scaffold023	unplaced-scaffold	na	na	JH470584.1	=	NW_005803930.1	Primary Assembly	110030	na
scaffold024	unplaced-scaffold	na	na	JH470585.1	=	NW_005803929.1	Primary Assembly	110028	na
scaffold025	unplaced-scaffold	na	na	JH470586.1	=	NW_005803928.1	Primary Assembly	107138	na
scaffold026	unplaced-scaffold	na	na	JH470587.1	=	NW_005803927.1	Primary Assembly	106775	na
scaffold027	unplaced-scaffold	na	na	JH470588.1	=	NW_005803926.1	Primary Assembly	105568	na
scaffold028	unplaced-scaffold	na	na	JH470589.1	=	NW_005803925.1	Primary Assembly	105531	na
scaffold029	unplaced-scaffold	na	na	JH470590.1	=	NW_005803924.1	Primary Assembly	104335	na
scaffold030	unplaced-scaffold	na	na	JH470591.1	=	NW_005803923.1	Primary Assembly	70849	na
scaffold031	unplaced-scaffold	na	na	JH470592.1	=	NW_005803922.1	Primary Assembly	102775	na
scaffold032	unplaced-scaffold	na	na	JH470593.1	=	NW_005803921.1	Primary Assembly	101849	na
scaffold033	unplaced-scaffold	na	na	JH470594.1	=	NW_005803920.1	Primary Assembly	101792	na
scaffold034	unplaced-scaffold	na	na	JH470595.1	=	NW_005803919.1	Primary Assembly	101633	na
scaffold035	unplaced-scaffold	na	na	JH470596.1	=	NW_005803918.1	Primary Assembly	100401	na
scaffold036	unplaced-scaffold	na	na	JH470597.1	=	NW_005803917.1	Primary Assembly	96566	na
scaffold037	unplaced-scaffold	na	na	JH470598.1	=	NW_005803916.1	Primary Assembly	96558	na
scaffold038	unplaced-scaffold	na	na	JH470599.1	=	NW_005803915.1	Primary Assembly	96107	na
scaffold039	unplaced-scaffold	na	na	JH470600.1	=	NW_005803914.1	Primary Assembly	95124	na
scaffold040	unplaced-scaffold	na	na	JH470601.1	=	NW_005803913.1	Primary Assembly	94926	na
scaffold041	unplaced-scaffold	na	na	JH470602.1	=	NW_005803912.1	Primary Assembly	93996	na
scaffold042	unplaced-scaffold	na	na	JH470603.1	=	NW_005803911.1	Primary Assembly	93832	na
scaffold043	unplaced-scaffold	na	na	JH470604.1	=	NW_005803910.1	Primary Assembly	91334	na
scaffold044	unplaced-scaffold	na	na	JH470605.1	=	NW_005803909.1	Primary Assembly	89646	na
scaffold045	unplaced-scaffold	na	na	JH470606.1	=	NW_005803908.1	Primary Assembly	89432	na
scaffold046	unplaced-scaffold	na	na	JH470607.1	=	NW_005803907.1	Primary Assembly	69032	na
scaffold047	unplaced-scaffold	na	na	JH470608.1	=	NW_005803906.1	Primary Assembly	88159	na
scaffold048	unplaced-scaffold	na	na	JH470609.1	=	NW_005803905.1	Primary Assembly	88039	na
scaffold049	unplaced-scaffold	na	na	JH470610.1	=	NW_005803904.1	Primary Assembly	87846	na
scaffold050	unplaced-scaffold	na	na	JH470611.1	=	NW_005803903.1	Primary Assembly	87693	na
scaffold051	unplaced-scaffold	na	na	JH470612.1	=	NW_005803902.1	Primary Assembly	85399	na
scaffold052	unplaced-scaffold	na	na	JH470613.1	=	NW_005803901.1	Primary Assembly	82667	na
scaffold053	unplaced-scaffold	na	na	JH470614.1	=	NW_005803900.1	Primary Assembly	82470	na
scaffold054	unplaced-scaffold	na	na	JH470615.1	=	NW_005803899.1	Primary Assembly	82221	na
scaffold055	unplaced-scaffold	na	na	JH470616.1	=	NW_005803898.1	Primary Assembly	81366	na
scaffold056	unplaced-scaffold	na	na	JH470617.1	=	NW_005803897.1	Primary Assembly	81100	na
