# Assembly name:  ASM161421v1
# Organism name:  Nannochloropsis gaditana (eukaryotes)
# Infraspecific name:  strain=CCMP527
# Taxid:          72520
# BioSample:      SAMN04613695
# BioProject:     PRJNA65109
# Submitter:      Qingdao Institute of Bioenergy and Bioprocess Technology, Chinese Academy of Sciences
# Date:           2016-04-08
# Assembly type:  haploid
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    AFGN01
# Assembly method: Velvet v. 1.0.14
# Genome coverage: 30x
# Sequencing technology: Illumina GA IIx
# GenBank assembly accession: GCA_001614215.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_001614265.1		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
contig9	unplaced-scaffold	na	na	AFGN01000001.1	<>	na	Primary Assembly	478	na
contig10	unplaced-scaffold	na	na	AFGN01000002.1	<>	na	Primary Assembly	283	na
contig11	unplaced-scaffold	na	na	AFGN01000003.1	<>	na	Primary Assembly	7118	na
contig24	unplaced-scaffold	na	na	AFGN01000004.1	<>	na	Primary Assembly	4376	na
contig25	unplaced-scaffold	na	na	AFGN01000005.1	<>	na	Primary Assembly	1041	na
contig44	unplaced-scaffold	na	na	AFGN01000006.1	<>	na	Primary Assembly	551	na
contig55	unplaced-scaffold	na	na	AFGN01000007.1	<>	na	Primary Assembly	870	na
contig56	unplaced-scaffold	na	na	AFGN01000008.1	<>	na	Primary Assembly	21202	na
contig57	unplaced-scaffold	na	na	AFGN01000009.1	<>	na	Primary Assembly	13288	na
contig58	unplaced-scaffold	na	na	AFGN01000010.1	<>	na	Primary Assembly	753	na
contig59	unplaced-scaffold	na	na	AFGN01000011.1	<>	na	Primary Assembly	2206	na
contig60	unplaced-scaffold	na	na	AFGN01000012.1	<>	na	Primary Assembly	4295	na
contig61	unplaced-scaffold	na	na	AFGN01000013.1	<>	na	Primary Assembly	1401	na
contig62	unplaced-scaffold	na	na	AFGN01000014.1	<>	na	Primary Assembly	2927	na
contig66	unplaced-scaffold	na	na	AFGN01000015.1	<>	na	Primary Assembly	22681	na
contig67	unplaced-scaffold	na	na	AFGN01000016.1	<>	na	Primary Assembly	594	na
contig69	unplaced-scaffold	na	na	AFGN01000017.1	<>	na	Primary Assembly	6111	na
contig72	unplaced-scaffold	na	na	AFGN01000018.1	<>	na	Primary Assembly	10294	na
contig73	unplaced-scaffold	na	na	AFGN01000019.1	<>	na	Primary Assembly	14863	na
