# Assembly name:  NagaB31_1.0
# Organism name:  Nannochloropsis gaditana (eukaryotes)
# Infraspecific name:  strain=B-31
# Taxid:          72520
# BioSample:      SAMN02440168
# BioProject:     PRJNA170989
# Submitter:      CRIBI Genomics University of Padova
# Date:           2014-02-18
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    AZIL01
# Assembly method: Newbler v. 2.6; SCAMPI v. v1.0
# Genome coverage: 17.0x
# Sequencing technology: 454; SOLiD
# GenBank assembly accession: GCA_000569095.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000569105.1		Primary Assembly
## GCA_000572215.1		non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
NG_chr01	assembled-molecule	1	Chromosome	CM002455.1	<>	na	Primary Assembly	1546440	na
NG_chr02	assembled-molecule	2	Chromosome	CM002456.1	<>	na	Primary Assembly	1443245	na
NG_chr03	assembled-molecule	3	Chromosome	CM002457.1	<>	na	Primary Assembly	1384164	na
NG_chr04	assembled-molecule	4	Chromosome	CM002458.1	<>	na	Primary Assembly	1364975	na
NG_chr05	assembled-molecule	5	Chromosome	CM002459.1	<>	na	Primary Assembly	1358244	na
NG_chr06	assembled-molecule	6	Chromosome	CM002460.1	<>	na	Primary Assembly	1241202	na
NG_chr07	assembled-molecule	7	Chromosome	CM002461.1	<>	na	Primary Assembly	1193805	na
NG_chr08	assembled-molecule	8	Chromosome	CM002462.1	<>	na	Primary Assembly	1168894	na
NG_chr09	assembled-molecule	9	Chromosome	CM002463.1	<>	na	Primary Assembly	1164708	na
NG_chr10	assembled-molecule	10	Chromosome	CM002464.1	<>	na	Primary Assembly	1083023	na
NG_chr11	assembled-molecule	11	Chromosome	CM002465.1	<>	na	Primary Assembly	1065987	na
NG_chr12	assembled-molecule	12	Chromosome	CM002466.1	<>	na	Primary Assembly	1046732	na
NG_chr13	assembled-molecule	13	Chromosome	CM002467.1	<>	na	Primary Assembly	890907	na
NG_chr14	assembled-molecule	14	Chromosome	CM002468.1	<>	na	Primary Assembly	869639	na
NG_chr15	assembled-molecule	15	Chromosome	CM002469.1	<>	na	Primary Assembly	787877	na
NG_chr16	assembled-molecule	16	Chromosome	CM002470.1	<>	na	Primary Assembly	710462	na
NG_chr17	assembled-molecule	17	Chromosome	CM002471.1	<>	na	Primary Assembly	665804	na
NG_chr18	assembled-molecule	18	Chromosome	CM002472.1	<>	na	Primary Assembly	517648	na
NG_chr19	assembled-molecule	19	Chromosome	CM002473.1	<>	na	Primary Assembly	435979	na
NG_chr20	assembled-molecule	20	Chromosome	CM002474.1	<>	na	Primary Assembly	152354	na
NG_chr21	assembled-molecule	21	Chromosome	CM002475.1	<>	na	Primary Assembly	63419	na
NG_scf01	unplaced-scaffold	na	na	KK037247.1	<>	na	Primary Assembly	747110	na
NG_scf02	unplaced-scaffold	na	na	KK037248.1	<>	na	Primary Assembly	719191	na
NG_scf03	unplaced-scaffold	na	na	KK037249.1	<>	na	Primary Assembly	659759	na
NG_scf04	unplaced-scaffold	na	na	KK037250.1	<>	na	Primary Assembly	633890	na
NG_scf05	unplaced-scaffold	na	na	KK037251.1	<>	na	Primary Assembly	478243	na
