# Assembly name:  Dunsal1 v. 2
# Organism name:  Dunaliella salina (green algae)
# Infraspecific name:  strain=CCAP 19/18
# Taxid:          3046
# BioSample:      SAMN02746051
# BioProject:     PRJNA32771
# Submitter:      JGI
# Date:           2020-07-10
# Assembly type:  haploid
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    NSFN02
# Assembly method: AllPaths-LG v. r52488
# Expected final version: no
# Genome coverage: 89.6x
# Sequencing technology: Illumina; Sanger
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_002284615.2
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_002284625.2		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
DUNSAscaffold_1	unplaced-scaffold	na	na	MU069436.1	<>	na	Primary Assembly	1550595	na
DUNSAscaffold_2	unplaced-scaffold	na	na	MU069437.1	<>	na	Primary Assembly	1463453	na
DUNSAscaffold_3	unplaced-scaffold	na	na	MU069438.1	<>	na	Primary Assembly	1399564	na
DUNSAscaffold_4	unplaced-scaffold	na	na	MU069439.1	<>	na	Primary Assembly	1382906	na
DUNSAscaffold_5	unplaced-scaffold	na	na	MU069440.1	<>	na	Primary Assembly	1158836	na
DUNSAscaffold_6	unplaced-scaffold	na	na	MU069441.1	<>	na	Primary Assembly	1152632	na
DUNSAscaffold_7	unplaced-scaffold	na	na	MU069442.1	<>	na	Primary Assembly	1141143	na
DUNSAscaffold_8	unplaced-scaffold	na	na	MU069443.1	<>	na	Primary Assembly	1125404	na
DUNSAscaffold_9	unplaced-scaffold	na	na	MU069444.1	<>	na	Primary Assembly	1111679	na
DUNSAscaffold_10	unplaced-scaffold	na	na	MU069445.1	<>	na	Primary Assembly	1032641	na
DUNSAscaffold_11	unplaced-scaffold	na	na	MU069446.1	<>	na	Primary Assembly	1027509	na
DUNSAscaffold_12	unplaced-scaffold	na	na	MU069447.1	<>	na	Primary Assembly	1011327	na
DUNSAscaffold_13	unplaced-scaffold	na	na	MU069448.1	<>	na	Primary Assembly	1004221	na
DUNSAscaffold_14	unplaced-scaffold	na	na	MU069449.1	<>	na	Primary Assembly	981132	na
DUNSAscaffold_15	unplaced-scaffold	na	na	MU069450.1	<>	na	Primary Assembly	968891	na
DUNSAscaffold_16	unplaced-scaffold	na	na	MU069451.1	<>	na	Primary Assembly	963314	na
DUNSAscaffold_17	unplaced-scaffold	na	na	MU069452.1	<>	na	Primary Assembly	956623	na
DUNSAscaffold_18	unplaced-scaffold	na	na	MU069453.1	<>	na	Primary Assembly	950030	na
DUNSAscaffold_19	unplaced-scaffold	na	na	MU069454.1	<>	na	Primary Assembly	929430	na
DUNSAscaffold_20	unplaced-scaffold	na	na	MU069455.1	<>	na	Primary Assembly	927490	na
DUNSAscaffold_21	unplaced-scaffold	na	na	MU069456.1	<>	na	Primary Assembly	895619	na
DUNSAscaffold_22	unplaced-scaffold	na	na	MU069457.1	<>	na	Primary Assembly	873425	na
DUNSAscaffold_23	unplaced-scaffold	na	na	MU069458.1	<>	na	Primary Assembly	860463	na
DUNSAscaffold_24	unplaced-scaffold	na	na	MU069459.1	<>	na	Primary Assembly	1289505	na
DUNSAscaffold_25	unplaced-scaffold	na	na	MU069460.1	<>	na	Primary Assembly	924944	na
DUNSAscaffold_26	unplaced-scaffold	na	na	MU069461.1	<>	na	Primary Assembly	834874	na
DUNSAscaffold_27	unplaced-scaffold	na	na	MU069462.1	<>	na	Primary Assembly	826691	na
DUNSAscaffold_28	unplaced-scaffold	na	na	MU069463.1	<>	na	Primary Assembly	825844	na
DUNSAscaffold_29	unplaced-scaffold	na	na	MU069464.1	<>	na	Primary Assembly	814719	na
DUNSAscaffold_30	unplaced-scaffold	na	na	MU069465.1	<>	na	Primary Assembly	798728	na
DUNSAscaffold_31	unplaced-scaffold	na	na	MU069466.1	<>	na	Primary Assembly	795823	na
DUNSAscaffold_32	unplaced-scaffold	na	na	MU069467.1	<>	na	Primary Assembly	790336	na
DUNSAscaffold_33	unplaced-scaffold	na	na	MU069468.1	<>	na	Primary Assembly	787568	na
DUNSAscaffold_34	unplaced-scaffold	na	na	MU069469.1	<>	na	Primary Assembly	772637	na
DUNSAscaffold_35	unplaced-scaffold	na	na	MU069470.1	<>	na	Primary Assembly	770075	na
DUNSAscaffold_36	unplaced-scaffold	na	na	MU069471.1	<>	na	Primary Assembly	769667	na
DUNSAscaffold_37	unplaced-scaffold	na	na	MU069472.1	<>	na	Primary Assembly	764183	na
DUNSAscaffold_38	unplaced-scaffold	na	na	MU069473.1	<>	na	Primary Assembly	763694	na
DUNSAscaffold_39	unplaced-scaffold	na	na	MU069474.1	<>	na	Primary Assembly	759562	na
DUNSAscaffold_40	unplaced-scaffold	na	na	MU069475.1	<>	na	Primary Assembly	748259	na
DUNSAscaffold_41	unplaced-scaffold	na	na	MU069476.1	<>	na	Primary Assembly	747099	na
DUNSAscaffold_42	unplaced-scaffold	na	na	MU069477.1	<>	na	Primary Assembly	745454	na
DUNSAscaffold_43	unplaced-scaffold	na	na	MU069478.1	<>	na	Primary Assembly	740560	na
DUNSAscaffold_44	unplaced-scaffold	na	na	MU069479.1	<>	na	Primary Assembly	735416	na
DUNSAscaffold_45	unplaced-scaffold	na	na	MU069480.1	<>	na	Primary Assembly	733846	na
DUNSAscaffold_46	unplaced-scaffold	na	na	MU069481.1	<>	na	Primary Assembly	730057	na
DUNSAscaffold_47	unplaced-scaffold	na	na	MU069482.1	<>	na	Primary Assembly	727898	na
DUNSAscaffold_48	unplaced-scaffold	na	na	MU069483.1	<>	na	Primary Assembly	726949	na
DUNSAscaffold_49	unplaced-scaffold	na	na	MU069484.1	<>	na	Primary Assembly	725702	na
DUNSAscaffold_50	unplaced-scaffold	na	na	MU069485.1	<>	na	Primary Assembly	718940	na
DUNSAscaffold_51	unplaced-scaffold	na	na	MU069486.1	<>	na	Primary Assembly	718458	na
DUNSAscaffold_52	unplaced-scaffold	na	na	MU069487.1	<>	na	Primary Assembly	708839	na
DUNSAscaffold_53	unplaced-scaffold	na	na	MU069488.1	<>	na	Primary Assembly	701329	na
DUNSAscaffold_54	unplaced-scaffold	na	na	MU069489.1	<>	na	Primary Assembly	700053	na
DUNSAscaffold_55	unplaced-scaffold	na	na	MU069490.1	<>	na	Primary Assembly	699897	na
DUNSAscaffold_56	unplaced-scaffold	na	na	MU069491.1	<>	na	Primary Assembly	699891	na
DUNSAscaffold_57	unplaced-scaffold	na	na	MU069492.1	<>	na	Primary Assembly	699791	na
DUNSAscaffold_58	unplaced-scaffold	na	na	MU069493.1	<>	na	Primary Assembly	699313	na
DUNSAscaffold_59	unplaced-scaffold	na	na	MU069494.1	<>	na	Primary Assembly	698095	na
DUNSAscaffold_60	unplaced-scaffold	na	na	MU069495.1	<>	na	Primary Assembly	693448	na
DUNSAscaffold_61	unplaced-scaffold	na	na	MU069496.1	<>	na	Primary Assembly	689105	na
DUNSAscaffold_62	unplaced-scaffold	na	na	MU069497.1	<>	na	Primary Assembly	686451	na
DUNSAscaffold_63	unplaced-scaffold	na	na	MU069498.1	<>	na	Primary Assembly	682361	na
DUNSAscaffold_64	unplaced-scaffold	na	na	MU069499.1	<>	na	Primary Assembly	682145	na
DUNSAscaffold_65	unplaced-scaffold	na	na	MU069500.1	<>	na	Primary Assembly	670813	na
DUNSAscaffold_66	unplaced-scaffold	na	na	MU069501.1	<>	na	Primary Assembly	659393	na
DUNSAscaffold_67	unplaced-scaffold	na	na	MU069502.1	<>	na	Primary Assembly	659073	na
DUNSAscaffold_68	unplaced-scaffold	na	na	MU069503.1	<>	na	Primary Assembly	658868	na
DUNSAscaffold_69	unplaced-scaffold	na	na	MU069504.1	<>	na	Primary Assembly	656583	na
DUNSAscaffold_70	unplaced-scaffold	na	na	MU069505.1	<>	na	Primary Assembly	656142	na
DUNSAscaffold_71	unplaced-scaffold	na	na	MU069506.1	<>	na	Primary Assembly	648420	na
DUNSAscaffold_72	unplaced-scaffold	na	na	MU069507.1	<>	na	Primary Assembly	638774	na
DUNSAscaffold_73	unplaced-scaffold	na	na	MU069508.1	<>	na	Primary Assembly	634873	na
DUNSAscaffold_74	unplaced-scaffold	na	na	MU069509.1	<>	na	Primary Assembly	634747	na
DUNSAscaffold_75	unplaced-scaffold	na	na	MU069510.1	<>	na	Primary Assembly	634388	na
DUNSAscaffold_76	unplaced-scaffold	na	na	MU069511.1	<>	na	Primary Assembly	633359	na
DUNSAscaffold_77	unplaced-scaffold	na	na	MU069512.1	<>	na	Primary Assembly	628866	na
DUNSAscaffold_78	unplaced-scaffold	na	na	MU069513.1	<>	na	Primary Assembly	626310	na
DUNSAscaffold_79	unplaced-scaffold	na	na	MU069514.1	<>	na	Primary Assembly	626113	na
DUNSAscaffold_80	unplaced-scaffold	na	na	MU069515.1	<>	na	Primary Assembly	625893	na
DUNSAscaffold_81	unplaced-scaffold	na	na	MU069516.1	<>	na	Primary Assembly	622397	na
DUNSAscaffold_82	unplaced-scaffold	na	na	MU069517.1	<>	na	Primary Assembly	611733	na
DUNSAscaffold_83	unplaced-scaffold	na	na	MU069518.1	<>	na	Primary Assembly	611330	na
DUNSAscaffold_84	unplaced-scaffold	na	na	MU069519.1	<>	na	Primary Assembly	609859	na
DUNSAscaffold_85	unplaced-scaffold	na	na	MU069520.1	<>	na	Primary Assembly	609457	na
